Date,MMM,AXP,AMGN,AMZN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WMT
2020-12-23,123.93675994873047,111.41866302490234,198.23675537109375,159.2635040283203,128.20079040527344,219.69000244140625,165.27992248535156,73.23641967773438,39.58184051513672,47.37119674682617,172.1918182373047,45.54093933105469,233.52633666992188,246.11582946777344,194.7239532470703,99.57148742675781,42.100460052490234,136.9467010498047,112.8584213256836,194.7193145751953,67.91625213623047,214.06954956054688,135.80186462402344,124.21211242675781,226.42481994628906,127.33391571044922,320.0553283691406,47.43413543701172,199.774169921875,45.1303825378418
2020-12-24,124.31425476074219,111.79974365234375,198.22784423828125,158.63450622558594,129.18948364257812,217.14999389648438,166.3360137939453,72.92875671386719,39.72454833984375,47.69247055053711,172.3704071044922,45.5742073059082,233.26223754882812,247.1282958984375,194.29737854003906,100.20635986328125,42.552467346191406,137.4243927001953,112.36210632324219,194.1407470703125,68.23983001708984,215.7451629638672,135.64862060546875,125.4693603515625,224.78211975097656,127.83233642578125,323.0891418457031,47.337589263916016,203.08262634277344,45.218624114990234
2020-12-28,124.4496078491211,112.761962890625,198.86805725097656,164.197998046875,133.81005859375,216.08999633789062,165.23362731933594,72.56124877929688,40.063453674316406,48.33504104614258,177.46026611328125,45.15830993652344,236.3856201171875,245.60491943359375,194.67755126953125,100.31085205078125,42.552467346191406,138.07334899902344,113.10205078125,196.55615234375,68.50379180908203,217.8856658935547,136.44374084472656,126.34396362304688,223.6471405029297,128.4784698486328,327.98114013671875,47.45021438598633,206.90682983398438,45.76060485839844
2020-12-29,123.83702087402344,112.55238342285156,201.73126220703125,166.10000610351562,132.0283966064453,216.25,163.6403045654297,72.31338500976562,39.81372833251953,48.308265686035156,175.9124755859375,45.191585540771484,234.9468536376953,242.81370544433594,193.9264678955078,99.49114227294922,44.64980697631836,138.92962646484375,112.80428314208984,195.35304260253906,69.32977294921875,217.1011199951172,135.619873046875,126.10710144042969,221.476806640625,127.7031021118164,329.3083190917969,47.31345748901367,208.60003662109375,45.470703125
2020-12-30,124.02218627929688,113.78137969970703,201.99801635742188,164.29249572753906,130.90261840820312,216.6699981689453,166.78062438964844,72.92875671386719,39.671024322509766,48.58492660522461,179.75218200683594,46.139827728271484,236.25816345214844,241.96536254882812,195.61416625976562,99.92510223388672,44.071231842041016,140.65109252929688,113.12010955810547,194.29689025878906,68.6230239868164,214.70880126953125,135.62942504882812,125.51494598388672,221.41705322265625,128.376953125,327.071044921875,46.7744255065918,212.48263549804688,45.432899475097656
2020-12-31,124.506591796875,115.19136810302734,204.4432830810547,162.84649658203125,129.8943328857422,214.05999755859375,168.6147918701172,72.17664337158203,39.911842346191406,48.94190216064453,179.76210021972656,46.1647834777832,240.13735961914062,242.2937469482422,197.23692321777344,101.16271209716797,45.038543701171875,141.84988403320312,114.66314697265625,197.07044982910156,69.65335083007812,215.42552185058594,135.52407836914062,126.76307678222656,221.54649353027344,129.56765747070312,332.4654541015625,47.26518249511719,212.84266662597656,45.423439025878906
2021-01-04,122.4266357421875,112.4571304321289,201.54454040527344,159.3314971923828,126.68344116210938,202.72000122070312,168.7351837158203,72.39886474609375,39.52521896362305,47.08561325073242,176.28948974609375,44.95035171508789,241.3120880126953,240.7430419921875,192.83226013183594,99.60364532470703,44.90293502807617,141.0567169189453,113.58030700683594,193.066162109375,68.93806457519531,210.84429931640625,134.2116241455078,125.56047058105469,219.33627319335938,125.21089172363281,331.34674072265625,47.34562683105469,211.89878845214844,46.17340087890625
2021-01-05,122.22003936767578,113.05730438232422,202.5226593017578,160.92550659179688,128.24974060058594,211.6300048828125,170.11549377441406,74.3560562133789,39.543209075927734,46.5679931640625,177.04356384277344,46.41432189941406,246.7119598388672,242.68592834472656,193.30519104003906,101.37164306640625,45.752723693847656,142.71510314941406,114.19831848144531,194.223388671875,69.05729675292969,211.0476837158203,135.29417419433594,126.36219024658203,220.5409393310547,124.17708587646484,326.89080810546875,47.128421783447266,208.73626708984375,45.92761993408203
2021-01-06,124.07920837402344,117.23968505859375,207.40432739257812,156.91900634765625,123.93265533447266,211.02999877929688,179.5828399658203,76.74909973144531,39.920833587646484,45.08652877807617,177.7182159423828,48.60194778442383,260.0251159667969,244.0725555419922,196.8289031982422,103.90312957763672,46.19568634033203,144.05809020996094,119.56060791015625,193.78257751464844,70.147216796875,205.57533264160156,136.36708068847656,127.69234466552734,215.19467163085938,128.39541625976562,340.60931396484375,47.699615478515625,206.89712524414062,46.2143669128418
2021-01-07,120.89511108398438,116.31233215332031,208.08905029296875,158.10800170898438,128.16162109375,212.7100067138672,179.92555236816406,77.10806274414062,40.424339294433594,44.58675003051758,177.1824493408203,48.66849136352539,265.5798034667969,242.87754821777344,197.15345764160156,103.66203308105469,47.18107986450195,144.54481506347656,123.48688507080078,194.6825714111328,71.54369354248047,211.4254150390625,138.8578338623047,126.49884033203125,217.0166015625,128.36773681640625,346.0700988769531,47.59228515625,208.0550994873047,46.21122360229492
